streetAddress,zipcode,livingArea,Price,zpid,walk_score,transit_score,felony_count,misdemeanor_count,violation_count,population_per_1000,median_income,
1048 E 98th St,11236,1279,540000,30773999,87,93,7148,11138,4558,102.238,73562,
1454 E 91st St,11236,1280,155000,30776991,74,75,7148,11138,4558,102.238,73562,
1860 55th St,11204,1280,730500,30679144,86,93,2557,4869,1592,82.14,58850,
24518 133rd Dr,11422,1281,265000,32205954,82,62,1828,2479,1309,34.063,95945,
13921 246th St,11422,1284,475000,79480976,83,64,1828,2479,1309,34.063,95945,
304 Bolton Ave,10473,1292,499000,79714563,65,62,5887,10085,3749,60.296,48212,
11035 174th St,11433,1292,159000,32141362,72,76,4530,7379,1942,41.396,68801,
7646 167th St,11366,1296,512000,32076268,80,73,609,847,288,13.922,100781,
8404 63rd Ave,11379,1305,547500,31996128,71,89,1472,2357,803,39.805,88672,
290 Wallabout St APT 7A,11206,1305,235248,79713635,93,100,10321,16686,5352,90.903,49013,
8914 Vanderveer St,11427,1309,350000,32149963,71,77,1074,1654,643,25.89,84000,
8545 79th St,11421,1314,135000,32105839,78,73,1671,3324,1085,42.704,76721,
28 Franklin Ln APT F,10306,1320,135000,32340005,29,46,2306,5154,2279,55.805,88687,
21840 103rd Ave,11429,1320,229000,32161147,90,81,1969,2696,1108,28.643,89318,
2157 Prospect Ave,10457,1320,250000,29785194,85,94,10195,17954,5893,79.443,38066,
3926 Bedford Ave,11229,1328,875000,30728661,83,89,4141,6429,1693,85.538,69076,
10432 194th St,11412,1328,440000,32154870,74,78,2727,3683,1414,41.782,93429,
688 E 228th St,10466,1332,194000,29831775,92,90,6496,11266,4287,75.767,62918,
135 E 49th St,11203,1338,349830,30650668,86,97,7415,10214,4475,79.499,61414,
1554 E 21st St,11210,1344,600000,30755332,87,89,4498,7125,2208,65.854,77378,
6310 Booth St,11374,1344,465000,31998974,97,100,1560,3710,919,47.019,79221,
9213 215th St,11428,1344,460000,32149150,83,81,1505,2310,807,21.184,83417,
2818 W 29th St,11224,1344,338000,55677467,74,53,5359,8812,2819,48.11,37241,
121 Aviston St,10306,1344,299000,32343458,42,64,2306,5154,2279,55.805,88687,
19021 103rd Ave,11423,1344,475000,32154034,74,82,1969,2658,942,30.983,69386,
5059 46th St,11377,1348,172000,31980185,69,75,4741,7506,2685,85.255,66325,
5416 32nd Ave,11377,1350,220000,31954599,89,95,4741,7506,2685,85.255,66325,
1617 56th St,11204,1350,415000,30678952,77,91,2557,4869,1592,82.14,58850,
699 Conduit Blvd,11208,1360,173000,30645544,86,87,12008,15377,5263,107.724,49679,
6923 173rd St,11365,1360,290000,32074896,67,73,2369,3684,1032,45.439,73279,
4556 189th St,11358,1368,700000,32049377,82,69,1681,1787,725,38.103,74854,
23915 65th Ave,11362,1368,820000,32096216,46,48,736,765,303,19.217,100528,
8901 145th St,11435,1376,210000,32129808,96,100,4707,6241,1831,60.842,71346,
8336 253rd St,11426,1376,292000,32099912,87,62,898,1253,577,20.959,102818,
3241 Bruner Ave,10469,1388,195000,29830301,68,82,4703,8301,2858,75.29,70415,
17618 80th Dr,11432,1392,465000,32080292,75,67,5991,9091,2272,64.858,66246,
12302 85th Ave,11415,1394,220000,32117579,86,100,657,1184,433,20.351,80360,
589 Union Ave,11211,1400,870000,30618308,99,100,8129,10701,3129,65.925,89091,
41 Thollen St,10306,1400,494000,32344681,44,67,2306,5154,2279,55.805,88687,
13730 71st Ave,11367,1400,230000,32067495,83,76,2147,3536,1346,42.362,71469,
133 N Burgher Ave,10310,1408,311200,32275246,67,62,1794,3431,1457,25.976,96161,
11622 228th St,11411,1424,210000,32166327,84,60,1164,1655,626,21.605,108131,
1158 E 35th St,11210,1425,436170,300075071,80,95,4498,7125,2208,65.854,77378,
14590 184th St,11413,1426,335000,32207842,61,67,3201,3906,1795,45.661,104236,
10461 142nd St,11435,1428,254400,32137086,79,99,4707,6241,1831,60.842,71346,
10546 63rd Rd,11375,1440,685000,31978286,87,92,2691,6747,1430,76.091,96321,
8221 164th Pl,11432,1440,650000,32077125,77,92,5991,9091,2272,64.858,66246,
14758 78th Ave,11367,1440,495000,32069453,74,78,2147,3536,1346,42.362,71469,
25812 147th Ave,11422,1440,355000,32212178,66,60,1828,2479,1309,34.063,95945,
2289 Coney Island Ave,11223,1450,180000,30741607,94,90,4282,7031,1942,83.565,57281,
46 Roanoke St,10314,1456,345000,32307582,36,43,3723,8850,3294,93.736,94578,
24321 Caney Rd,11422,1476,470000,32210358,68,63,1828,2479,1309,34.063,95945,
8285 164th Pl,11432,1480,540000,32077289,72,99,5991,9091,2272,64.858,66246,
2462 Williamsbridge Rd,10469,1482,172000,29820837,85,87,4703,8301,2858,75.29,70415,
303 Richard Ave,10309,1482,381000,32374620,26,45,1115,2261,881,35.832,107500,
4059 Paulding Ave,10466,1485,449000,29833067,83,81,6496,11266,4287,75.767,62918,
120 Herrick Ave,10309,1492,390379,59821124,42,52,1115,2261,881,35.832,107500,
50 Vista Ave,10304,1496,569000,32294172,70,66,3367,6455,2878,43.849,64539,
34 Ada Dr #40,10314,1496,220000,32306104,71,62,3723,8850,3294,93.736,94578,
20019 45th Rd,11361,1498,196000,32049804,86,69,1739,2122,752,30.006,93734,
638 Hendrix St,11207,1500,325000,30641003,76,100,14088,17544,6677,97.69,45616,
9231 217th St,11428,1500,670000,32149279,79,81,1505,2310,807,21.184,83417,
2 Rockville Ave,10314,1500,252000,32309963,58,57,3723,8850,3294,93.736,94578,
8243 214th St,11427,1500,960000,32089674,63,73,1074,1654,643,25.89,84000,
423 Guyon Ave,10306,1500,599800,32334417,49,61,2306,5154,2279,55.805,88687,
14569 167th St,11434,1511,160000,32207198,69,64,7012,11046,3279,66.424,66546,
24349 144th Ave,11422,1516,561500,32210334,71,64,1828,2479,1309,34.063,95945,
3033 81st St,11370,1520,555000,31953814,83,77,2563,3564,834,29.78,67241,
5013 64th St,11377,1520,190000,31981021,57,94,4741,7506,2685,85.255,66325,
4449 Baychester Ave,10466,1530,160000,29839592,78,86,6496,11266,4287,75.767,62918,
444 Linden Blvd,11203,1534,525000,30658919,86,90,7415,10214,4475,79.499,61414,
1154 E 102nd St,11236,1540,345000,30776585,75,83,7148,11138,4558,102.238,73562,
2202 Loretta Rd,11691,1546,425000,32222052,89,76,6250,9127,4297,70.797,54877,
3021 88th St,11369,1550,588637,31961058,80,75,3675,7056,1754,31.55,66132,
3821 Laurel Ave,11224,1550,493960,30732507,47,47,5359,8812,2819,48.11,37241,
109 Herrick Ave,10309,1560,374436,59821161,42,52,1115,2261,881,35.832,107500,
17242 Brocher Rd,11434,1560,218000,32190419,84,74,7012,11046,3279,66.424,66546,
10754 125th St,11419,1568,704900,32128953,62,77,3567,5027,2000,50.107,84245,
5101 65th St,11377,1576,440000,31981959,80,88,4741,7506,2685,85.255,66325,
4317 Skillman Ave,11104,1580,235000,31935173,80,100,1130,2005,847,27.575,81142,
2562 Stedman Pl,10469,1584,440000,29821407,67,77,4703,8301,2858,75.29,70415,
12815 235th St,11422,1584,496324,32198964,52,56,1828,2479,1309,34.063,95945,
5025 48th St,11377,1596,600000,31980315,75,79,4741,7506,2685,85.255,66325,
9916 Bellaire Pl,11429,1596,359000,32154000,73,77,1969,2696,1108,28.643,89318,
5821 21st Ave,11204,1600,650000,30679845,89,94,2557,4869,1592,82.14,58850,
2165 W 8th St,11223,1600,990000,30736736,93,99,4282,7031,1942,83.565,57281,
568 Grand St,11211,1600,1774000,30623594,99,100,8129,10701,3129,65.925,89091,
14429 76th Ave,11367,1600,210000,32068950,75,71,2147,3536,1346,42.362,71469,
230 Hunter Ave,10306,1600,370000,32329509,84,71,2306,5154,2279,55.805,88687,
10526 131st St,11419,1600,450000,32128168,89,88,3567,5027,2000,50.107,84245,
2858 Miles Ave,10465,1600,349000,29849009,78,49,3015,6081,2197,46.205,80245,
118 E Broadway,10306,1600,590000,32338880,63,62,2306,5154,2279,55.805,88687,
649 E 92nd St,11236,1610,285000,30655419,71,81,7148,11138,4558,102.238,73562,
12004 Graham Ct,11354,1612,468000,32025208,64,53,5459,9944,2432,53.375,52273,
563 E 240th St,10470,1612,499550,29839245,76,88,1512,2447,786,16.446,70107,
2578 Tenbroeck Ave,10469,1620,325000,29821364,71,78,4703,8301,2858,75.29,70415,
2138 Bruckner Blvd,10473,1620,377100,29793834,91,86,5887,10085,3749,60.296,48212,
14238 254th St,11422,1620,510000,32210673,63,62,1828,2479,1309,34.063,95945,
2235 W 8th St,11223,1654,355000,30737503,93,100,4282,7031,1942,83.565,57281,
10748 122nd St,11419,1657,320000,32128774,75,78,3567,5027,2000,50.107,84245,
5042 184th St,11365,1670,728000,32052320,76,69,2369,3684,1032,45.439,73279,
1029 Tiffany St,10459,1680,367500,29780538,92,100,6887,11912,4046,51.303,36631,
708 Empire Blvd,11213,1680,950000,30597873,92,100,7022,10632,4021,69.392,48896,
1545 E 33rd St,11234,1680,220000,30756233,88,80,5551,8786,2903,94.254,86185,
7315 170th St,11366,1687,700000,32075780,57,72,609,847,288,13.922,100781,
895 Lenox Rd,11203,1690,1125000,30651852,77,97,7415,10214,4475,79.499,61414,
8103 Cowles Ct,11379,1694,900000,31996544,80,64,1472,2357,803,39.805,88672,
43 Manila Pl,10306,1700,230000,32335067,58,59,2306,5154,2279,55.805,88687,
3877 Amundson Ave,10466,1701,469000,29834790,77,73,6496,11266,4287,75.767,62918,
998 Barbey St,11207,1710,852290,30647951,77,96,14088,17544,6677,97.69,45616,
3212 54th St,11377,1720,789000,31954547,91,95,4741,7506,2685,85.255,66325,
7806 222nd St,11364,1728,640000,32088993,74,71,1601,1431,645,39.015,90970,
4270 79th St,11373,1730,525000,31965318,95,100,6586,12244,2757,102.104,62072,
5028 48th St,11377,1737,785000,31980287,75,79,4741,7506,2685,85.255,66325,
1217 30th Dr,11102,1740,200000,31936980,92,79,2225,3453,1320,27.876,95478,
2039 48th St,11105,1742,265000,31943477,83,69,1731,3112,1083,38.311,93200,
648 E 180th St,10457,1760,500000,55541100,90,95,10195,17954,5893,79.443,38066,
26 E 55th St,11203,1767,475640,30651274,81,100,7415,10214,4475,79.499,61414,
34 E 55th St,11203,1767,580000,30651277,81,100,7415,10214,4475,79.499,61414,
36 Buffalo Ave,11233,1776,749000,30606650,88,98,9165,13371,5500,85.633,52380,
8592 Parsons Blvd,11432,1776,565000,32131161,91,100,5991,9091,2272,64.858,66246,
618 S Gannon Ave,10314,1792,240000,32291937,55,55,3723,8850,3294,93.736,94578,
3363 Wilson Ave,10469,1799,499000,29829290,87,79,4703,8301,2858,75.29,70415,
4100 Monticello Ave,10466,1800,500000,29837906,67,67,6496,11266,4287,75.767,62918,
200 30th St,11232,1800,545900,30574312,79,100,2966,4762,1110,28.501,77031,
1877 Bleecker St,11385,1800,565000,32007954,89,95,6596,11146,3311,109.111,77350,
9348 210th Pl,11428,1800,195000,32147082,78,76,1505,2310,807,21.184,83417,
85-08 25th Ave,11370,1800,435000,83057062,82,71,2563,3564,834,29.78,67241,
857 E 224th St,10466,1800,299000,29832386,86,86,6496,11266,4287,75.767,62918,
11219 69th Ave,11375,1800,1780000,31979464,73,100,2691,6747,1430,76.091,96321,
1055 E 22nd St,11210,1808,1295000,30751322,63,99,4498,7125,2208,65.854,77378,
2957 Morgan Ave,10469,1824,335000,29824535,89,82,4703,8301,2858,75.29,70415,
13243 59th Ave,11355,1824,345000,32063740,77,71,4105,4926,1788,80.918,46963,
945 E 214th St,10469,1836,400000,29827573,81,87,4703,8301,2858,75.29,70415,
124 Carlyle Grn,10312,1836,425000,32362201,55,46,1450,2839,1254,63.935,100875,
1279 Croes Ave,10472,1840,360000,29796064,92,99,7129,10131,3764,66.72,36730,
